date,start_time,end_time,time,year,month,hours_fishing,time_period,season,location,air_temp,weather,wind_level,wind_dir,trolling_speed,water_depth,fish_length,fish_type,crew_count,hook_rate
2010-03-18,2010-03-18 17:35:00,2010-03-18 19:25:00,2010-03-18 18:30:00,2010.0,3.0,1.8333333333333333,evening,spring,Upper Harbor,55.0,Partly Cloudy,1.5,NorthWest,2.7,34.0,20.0,Coho,1.0,0.5454545454545455
2010-03-20,2010-03-20 10:30:00,2010-03-20 19:30:00,2010-03-20 18:30:00,2010.0,3.0,9.0,evening,spring,Lower Harbor,32.6,Clear,6.1,NorthEast,2.66,35.2,19.8,Coho,1.0,0.5555555555555556
2010-03-21,2010-03-21 16:05:00,2010-03-21 18:55:00,2010-03-21 18:30:00,2010.0,3.0,2.8333333333333335,evening,spring,Upper Harbor,39.0,Clear,3.5,NorthEast,2.8,83.0,20.0,Coho,1.0,0.7058823529411764
2010-03-23,2010-03-23 16:35:00,2010-03-23 18:25:00,2010-03-23 17:30:00,2010.0,3.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,42.0,Clear,0.5,NorthEast,2.8,65.0,29.0,Lake Trout,1.0,0.5454545454545455
2010-04-01,2010-04-01 17:35:00,2010-04-01 19:25:00,2010-04-01 18:30:00,2010.0,4.0,1.8333333333333333,evening,spring,Lower Harbor Lighthouse,55.0,Clear,0.5,NorthEast,2.7,65.0,22.0,Lake Trout,1.0,0.5454545454545455
2010-04-03,2010-04-03 11:01:15,2010-04-03 13:43:45,2010-04-03 12:15:00,2010.0,4.0,2.7083333333333335,afternoon,spring,Lower Harbor Lighthouse,62.0,Overcast,8.5,SouthWest,2.7999999999999994,68.33333333333333,23.666666666666668,Lake Trout,1.0,1.1076923076923075
2010-04-04,2010-04-04 12:20:00,2010-04-04 14:10:00,2010-04-04 13:15:00,2010.0,4.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,48.0,Rain,10.0,SouthWest,2.8,65.0,27.0,Lake Trout,1.0,0.5454545454545455
2010-04-05,2010-04-05 13:12:30,2010-04-05 15:17:30,2010-04-05 14:30:00,2010.0,4.0,2.0833333333333335,afternoon,spring,Lower Harbor Lighthouse,55.0,Partly Cloudy,3.5,SouthEast,2.7,67.0,24.0,Lake Trout,1.0,0.96
2010-04-18,2010-04-18 15:35:00,2010-04-18 17:25:00,2010-04-18 16:30:00,2010.0,4.0,1.8333333333333333,afternoon,spring,Lower Harbor Lighthouse,55.0,Clear,8.5,NorthEast,2.7,68.0,26.0,Lake Trout,1.0,0.5454545454545455
2010-04-19,2010-04-19 17:00:00,2010-04-19 19:30:00,2010-04-19 17:30:00,2010.0,4.0,2.5,afternoon,spring,Lower Harbor Lighthouse,51.0,Overcast,1.5,NorthEast,2.8,68.0,24.0,Lake Trout,1.0,0.8
2010-05-03,2010-05-03 14:42:30,2010-05-03 16:47:30,2010-05-03 16:00:00,2010.0,5.0,2.0833333333333335,afternoon,spring,Lower Harbor Lighthouse,51.0,Partly Cloudy,3.5,NorthEast,2.7,67.0,25.5,Lake Trout,1.0,0.96
2010-05-16,2010-05-16 08:00:00,2010-05-16 11:00:00,2010-05-16 10:30:00,2010.0,5.0,3.0,morning,spring,Lower Harbor Lighthouse,55.0,Clear,1.5,SouthEast,2.8,68.0,25.5,Lake Trout,2.0,0.6666666666666666
2010-05-18,2010-05-18 09:00:00,2010-05-18 16:00:00,2010-05-18 14:00:00,2010.0,5.0,7.0,afternoon,spring,Upper Harbor,64.0,Clear,0.5,NorthEast,2.5,95.33333333333333,22.666666666666668,Coho,2.0,0.42857142857142855
2010-05-22,2010-05-22 06:30:00,2010-05-22 10:30:00,2010-05-22 10:30:00,2010.0,5.0,3.8333333333333335,morning,spring,Lower Harbor Lighthouse,56.5,Partly Cloudy,3.5,SouthWest,2.8666666666666667,66.33333333333333,21.333333333333332,Coho,2.0,1.5714285714285714
2010-05-29,2010-05-29 06:30:00,2010-05-29 10:30:00,2010-05-29 08:00:00,2010.0,5.0,3.5714285714285716,morning,spring,Shot Point,58.857142857142854,Clear,1.9285714285714286,SouthEast,2.742857142857143,67.57142857142857,23.571428571428573,Lake Trout,2.0,2.0
2010-05-31,2010-05-31 16:30:00,2010-05-31 20:30:00,2010-05-31 18:00:00,2010.0,5.0,4.0,evening,spring,Shot Point,64.0,Clear,1.5,NorthEast,2.3499999999999996,73.0,25.0,Lake Trout,2.0,0.5
2010-06-05,2010-06-05 07:00:00,2010-06-05 12:30:00,2010-06-05 10:00:00,2010.0,6.0,5.5,morning,summer,Lower Harbor Lighthouse,55.0,Overcast,5.5,North,2.8,73.5,22.0,Lake Trout,3.0,0.36363636363636365
2010-06-10,2010-06-10 18:00:00,2010-06-10 21:00:00,2010-06-10 19:30:00,2010.0,6.0,3.0,evening,summer,Lower Harbor Lighthouse,58.0,Overcast,5.5,NorthEast,2.6333333333333333,62.333333333333336,19.333333333333332,Coho,2.0,1.0
2010-06-12,2010-06-12 12:00:00,2010-06-12 15:00:00,2010-06-12 14:45:00,2010.0,6.0,3.0,afternoon,summer,Lower Harbor Breakwall,60.0,Overcast,3.5,NorthEast,2.6,46.0,19.5,Steelhead,2.0,0.6666666666666666
2010-06-13,2010-06-13 07:00:00,2010-06-13 12:00:00,2010-06-13 10:30:00,2010.0,6.0,5.0,morning,summer,Lower Harbor Lighthouse,60.0,Overcast,1.5,NorthEast,2.8,72.75,23.0,Lake Trout,2.0,0.8
2010-06-17,2010-06-17 11:00:00,2010-06-17 18:30:00,2010-06-17 18:15:00,2010.0,6.0,7.5,evening,summer,White Rocks,67.0,Partly Cloudy,10.0,SouthEast,2.1,142.5,31.5,Lake Trout,3.0,0.26666666666666666
2010-06-26,2010-06-26 17:00:00,2010-06-26 17:30:00,2010-06-26 17:30:00,2010.0,6.0,0.5,afternoon,summer,Lower Harbor Lighthouse,64.0,Fog,1.5,SouthEast,2.8,72.0,24.0,Coho,1.0,2.0
2010-06-27,2010-06-27 16:30:00,2010-06-27 21:30:00,2010-06-27 18:00:00,2010.0,6.0,5.0,evening,summer,Lower Harbor Lighthouse,64.0,Partly Cloudy,1.5,West,2.8,72.0,24.0,Coho,2.0,0.2
2010-07-01,2010-07-01 08:30:00,2010-07-01 11:30:00,2010-07-01 11:15:00,2010.0,7.0,3.0,morning,summer,White Rocks,64.0,Partly Cloudy,7.0,SouthEast,2.4333333333333336,109.66666666666667,24.666666666666668,Coho,3.3333333333333335,1.0
2010-07-05,2010-07-05 08:00:00,2010-07-05 13:30:00,2010-07-05 10:00:00,2010.0,7.0,5.5,morning,summer,White Rocks,67.0,Overcast,2.5,NorthWest,2.2666666666666666,129.33333333333334,26.0,Lake Trout,3.0,0.7272727272727272
2010-07-06,2010-07-06 18:00:00,2010-07-06 21:30:00,2010-07-06 19:00:00,2010.0,7.0,3.5,evening,summer,Lower Harbor Breakwall,67.0,Partly Cloudy,1.5,South,2.7,58.0,25.0,Lake Trout,2.0,0.5714285714285714
2010-07-07,2010-07-07 18:30:00,2010-07-07 20:30:00,2010-07-07 19:30:00,2010.0,7.0,2.0,evening,summer,Lower Harbor Breakwall,69.0,Partly Cloudy,2.5,East,2.7,58.0,23.0,Lake Trout,1.0,1.0
2010-07-11,2010-07-11 10:30:00,2010-07-11 15:30:00,2010-07-11 15:00:00,2010.0,7.0,5.0,morning,summer,Lower Harbor Lighthouse,67.0,Overcast,9.25,SouthWest,2.7,56.5,23.0,Lake Trout,2.0,0.6
2010-07-12,2010-07-12 19:30:00,2010-07-12 21:45:00,2010-07-12 21:00:00,2010.0,7.0,2.25,night,summer,Lower Harbor Breakwall,64.0,Clear,3.5,SouthEast,2.8,59.0,20.5,Coho,2.0,0.8888888888888888
2010-07-13,2010-07-13 19:00:00,2010-07-13 21:30:00,2010-07-13 21:00:00,2010.0,7.0,2.5,night,summer,Lower Harbor Lighthouse,72.0,Clear,2.5,East,2.7,62.0,21.25,Lake Trout,3.0,2.0
2010-07-18,2010-07-18 11:30:00,2010-07-18 16:00:00,2010-07-18 14:30:00,2010.0,7.0,4.5,afternoon,summer,Lower Harbor Lighthouse,67.25,Partly Cloudy,1.5,SouthEast,2.7,68.0,22.75,Lake Trout,2.0,1.1111111111111112
2010-07-19,2010-07-19 18:30:00,2010-07-19 21:45:00,2010-07-19 20:30:00,2010.0,7.0,3.25,evening,summer,Lower Harbor Breakwall,66.42857142857143,Partly Cloudy,3.2142857142857144,SouthEast,2.6142857142857143,59.0,22.0,Lake Trout,2.0,3.076923076923077
2010-07-20,2010-07-20 19:00:00,2010-07-20 22:00:00,2010-07-20 20:45:00,2010.0,7.0,3.0,evening,summer,Lower Harbor Breakwall,72.0,Clear,3.5,NorthEast,2.6,57.25,21.75,Lake Trout,2.0,2.0
2010-07-22,2010-07-22 07:00:00,2010-07-22 10:30:00,2010-07-22 09:45:00,2010.0,7.0,3.9,morning,summer,Lower Harbor Breakwall,62.8,Overcast,1.6,SouthWest,2.685,58.05,21.6,Coho,3.0,3.8158730158730156
2010-07-23,2010-07-23 07:00:00,2010-07-23 10:00:00,2010-07-23 08:30:00,2010.0,7.0,3.0,morning,summer,Lower Harbor Breakwall,64.0,Partly Cloudy,2.5,West,2.7999999999999994,59.666666666666664,22.5,Lake Trout,2.0,2.6666666666666665
2010-07-24,2010-07-24 07:00:00,2010-07-24 12:00:00,2010-07-24 10:00:00,2010.0,7.0,5.0,morning,summer,Lower Harbor Breakwall,64.0,Overcast,2.5,NorthWest,2.8333333333333335,54.333333333333336,23.666666666666668,Lake Trout,2.0,1.2
2010-07-25,2010-07-25 07:00:00,2010-07-25 12:00:00,2010-07-25 11:15:00,2010.0,7.0,5.0,morning,summer,Lower Harbor Lighthouse,69.0,Clear,7.0,North,2.2,160.0,24.0,Lake Trout,2.0,0.4
2010-07-31,2010-07-31 07:00:00,2010-07-31 12:00:00,2010-07-31 09:30:00,2010.0,7.0,5.0,morning,summer,White Rocks,64.0,Overcast,1.5,SouthWest,2.566666666666667,123.66666666666667,24.5,Lake Trout,3.0,1.3999999999999997
2010-08-01,2010-08-01 07:00:00,2010-08-01 13:00:00,2010-08-01 11:00:00,2010.0,8.0,6.0,morning,summer,White Rocks,67.0,Clear,1.5,NorthWest,2.5,130.0,26.0,Lake Trout,2.0,0.16666666666666666
2010-08-07,2010-08-07 17:30:00,2010-08-07 21:00:00,2010-08-07 18:30:00,2010.0,8.0,3.5,evening,summer,White Rocks,67.0,Clear,1.5,NorthEast,2.5,150.0,32.0,Lake Trout,4.0,0.2857142857142857
2010-08-08,2010-08-08 08:30:00,2010-08-08 11:00:00,2010-08-08 10:00:00,2010.0,8.0,2.5,morning,summer,Lower Harbor Lighthouse,67.0,Overcast,1.5,East,2.8,70.5,24.0,Lake Trout,1.0,0.8
2010-08-12,2010-08-12 17:30:00,2010-08-12 21:00:00,2010-08-12 20:00:00,2010.0,8.0,3.5,evening,summer,White Rocks,67.0,Partly Cloudy,1.5,SouthEast,2.6,160.0,24.0,Lake Trout,2.0,0.5714285714285714
2010-08-14,2010-08-14 17:30:00,2010-08-14 21:00:00,2010-08-14 19:30:00,2010.0,8.0,3.5,evening,summer,White Rocks,67.0,Clear,1.5,NorthWest,2.5,160.0,24.0,Lake Trout,3.0,0.2857142857142857
2010-08-19,2010-08-19 17:30:00,2010-08-19 21:00:00,2010-08-19 19:15:00,2010.0,8.0,3.5,evening,summer,White Rocks,67.0,Clear,1.5,NorthWest,2.5,160.0,18.0,Lake Trout,3.0,0.2857142857142857
2010-08-22,2010-08-22 19:00:00,2010-08-22 21:00:00,2010-08-22 19:30:00,2010.0,8.0,2.0,evening,summer,Lower Harbor Lighthouse,67.0,Clear,1.5,NorthWest,2.7,72.0,23.0,Coho,1.0,0.5
2010-08-24,2010-08-24 18:00:00,2010-08-24 21:00:00,2010-08-24 20:30:00,2010.0,8.0,3.0,evening,summer,Lower Harbor Lighthouse,67.0,Partly Cloudy,1.5,NorthWest,2.7,66.5,23.0,Coho,2.0,0.6666666666666666
2010-08-28,2010-08-28 08:30:00,2010-08-28 11:30:00,2010-08-28 10:30:00,2010.0,8.0,3.0,morning,summer,Lower Harbor Lighthouse,72.0,Clear,8.5,SouthWest,2.6,72.0,24.0,Coho,4.0,1.0
2010-09-05,2010-09-05 07:30:00,2010-09-05 13:00:00,2010-09-05 10:30:00,2010.0,9.0,5.5,morning,fall,White Rocks,58.0,Partly Cloudy,1.5,South,2.175,141.0,24.25,Lake Trout,2.0,0.7272727272727273
2010-09-17,2010-09-17 17:00:00,2010-09-17 20:00:00,2010-09-17 19:00:00,2010.0,9.0,3.0,evening,fall,Chocolay,58.0,Overcast,5.5,SouthWest,2.7999999999999994,64.33333333333333,21.0,Lake Trout,2.0,1.3333333333333333
2010-09-19,2010-09-19 07:30:00,2010-09-19 14:00:00,2010-09-19 12:15:00,2010.0,9.0,6.5,morning,fall,White Rocks,58.0,Partly Cloudy,7.0,NorthWest,2.2,160.0,19.0,Lake Trout,2.0,0.3076923076923077
2010-09-22,2010-09-22 16:00:00,2010-09-22 18:30:00,2010-09-22 18:15:00,2010.0,9.0,2.5,evening,fall,Chocolay,55.0,Partly Cloudy,8.5,SouthEast,2.6,66.0,18.333333333333332,Lake Trout,3.0,1.2
2010-09-27,2010-09-27 16:00:00,2010-09-27 19:30:00,2010-09-27 16:30:00,2010.0,9.0,3.5,evening,fall,Lower Harbor Lighthouse,64.0,Overcast,6.5,SouthWest,2.6666666666666665,69.33333333333333,21.5,Lake Trout,3.0,2.0
2010-10-03,2010-10-03 17:00:00,2010-10-03 20:00:00,2010-10-03 07:30:00,2010.0,10.0,3.0,morning,fall,Lower Harbor Breakwall,55.0,Partly Cloudy,3.5,SouthEast,2.8,44.0,28.0,Steelhead,1.0,0.3333333333333333
2010-10-04,2010-10-04 16:00:00,2010-10-04 19:30:00,2010-10-04 18:00:00,2010.0,10.0,3.5,evening,fall,Lower Harbor Lighthouse,62.0,Clear,3.5,SouthWest,2.7000000000000006,65.33333333333333,23.333333333333332,Lake Trout,2.0,1.7142857142857142
2010-10-05,2010-10-05 17:00:00,2010-10-05 19:30:00,2010-10-05 17:30:00,2010.0,10.0,2.7,morning,fall,Lower Harbor Lighthouse,59.2,Clear,2.1,SouthEast,2.6399999999999997,80.2,21.6,Lake Trout,1.6,1.2533333333333334
2010-10-08,2010-10-08 08:30:00,2010-10-08 12:30:00,2010-10-08 10:30:00,2010.0,10.0,4.0,morning,fall,White Rocks,60.0,Clear,1.5,SouthEast,2.0,173.33333333333334,18.0,Lake Trout,1.0,0.75
2010-10-10,2010-10-10 08:00:00,2010-10-10 14:00:00,2010-10-10 12:30:00,2010.0,10.0,6.0,morning,fall,Upper Harbor,62.0,Clear,1.1666666666666667,NorthEast,2.066666666666667,152.08333333333334,19.0,Lake Trout,2.0,2.3333333333333335
2010-10-12,2010-10-12 14:30:00,2010-10-12 18:00:00,2010-10-12 17:30:00,2010.0,10.0,4.0,afternoon,fall,Upper Harbor,58.0,Clear,3.5,SouthEast,1.9600000000000002,181.0,21.2,Lake Trout,1.8,2.1238095238095243
2010-10-16,2010-10-16 10:00:00,2010-10-16 10:30:00,2010-10-16 10:30:00,2010.0,10.0,0.5,morning,fall,Lower Harbor Breakwall,60.0,Partly Cloudy,8.5,SouthWest,2.6,60.0,23.0,Lake Trout,1.0,2.0
2010-10-29,2010-10-29 17:30:00,2010-10-29 19:30:00,2010-10-29 18:00:00,2010.0,10.0,2.0,evening,fall,Lower Harbor Breakwall,42.0,Partly Cloudy,5.5,SouthWest,2.8,65.0,23.0,Lake Trout,1.0,1.5
2010-11-01,2010-11-01 16:15:00,2010-11-01 17:30:00,2010-11-01 17:00:00,2010.0,11.0,1.25,afternoon,fall,Lower Harbor Lighthouse,44.0,Clear,2.5,NorthEast,2.66,70.2,23.2,Lake Trout,1.0,5.6
2010-11-02,2010-11-02 08:30:00,2010-11-02 11:00:00,2010-11-02 10:15:00,2010.0,11.0,2.5,morning,fall,Lower Harbor Lighthouse,40.0,Clear,2.5,SouthWest,2.733333333333333,68.5,24.0,Lake Trout,1.0,4.0
2010-11-06,2010-11-06 09:00:00,2010-11-06 11:00:00,2010-11-06 10:15:00,2010.0,11.0,2.0,morning,fall,Lower Harbor Breakwall,33.0,Partly Cloudy,9.25,SouthWest,2.7,57.5,22.5,Lake Trout,1.0,3.0
2010-11-07,2010-11-07 08:15:00,2010-11-07 12:15:00,2010-11-07 10:35:00,2010.0,11.0,2.9285714285714284,morning,fall,Lower Harbor Lighthouse,44.142857142857146,Partly Cloudy,5.285714285714286,SouthWest,2.7,62.857142857142854,23.0,Lake Trout,1.6428571428571428,3.5535714285714284
2010-11-08,2010-11-08 09:00:00,2010-11-08 12:00:00,2010-11-08 10:15:00,2010.0,11.0,3.0,morning,fall,Lower Harbor Breakwall,48.0,Partly Cloudy,8.5,SouthWest,2.6,56.666666666666664,20.666666666666668,Lake Trout,1.0,1.6666666666666667
2010-11-12,2010-11-12 13:30:00,2010-11-12 17:00:00,2010-11-12 16:30:00,2010.0,11.0,3.5,morning,fall,Lower Harbor Breakwall,44.2,Overcast,5.7,West,2.7399999999999998,55.3,24.0,Lake Trout,1.5,2.0
2010-11-16,2010-11-16 08:30:00,2010-11-16 11:00:00,2010-11-16 10:15:00,2010.0,11.0,2.5,morning,fall,Lower Harbor Lighthouse,42.0,Partly Cloudy,5.5,South,2.6,69.6,22.0,Lake Trout,1.0,2.8
2011-04-09,2011-04-09 07:15:00,2011-04-09 11:30:00,2011-04-09 09:30:00,2011.0,4.0,4.25,morning,spring,Lower Harbor Breakwall,37.0,Partly Cloudy,3.5,NorthEast,2.6,32.5,23.75,Chinook,2.0,0.9411764705882353
2011-04-13,2011-04-13 11:30:00,2011-04-13 16:00:00,2011-04-13 14:00:00,2011.0,4.0,4.5,afternoon,spring,Lower Harbor Breakwall,51.0,Overcast,7.0,NorthEast,2.7,46.0,21.5,Coho,1.0,0.4444444444444444
2011-05-07,2011-05-07 07:00:00,2011-05-07 09:30:00,2011-05-07 09:15:00,2011.0,5.0,2.5,morning,spring,Lower Harbor Breakwall,46.0,Partly Cloudy,1.5,SouthWest,2.7,44.0,17.0,Coho,1.0,0.4
2011-05-21,2011-05-21 15:00:00,2011-05-21 17:30:00,2011-05-21 16:50:00,2011.0,5.0,2.5,afternoon,spring,Lower Harbor Lighthouse,51.0,Overcast,3.5,SouthEast,2.7,78.0,24.0,Lake Trout,1.0,0.4
2011-05-29,2011-05-29 18:30:00,2011-05-29 20:45:00,2011-05-29 19:30:00,2011.0,5.0,2.25,evening,spring,White Rocks,55.0,Overcast,2.5,NorthEast,2.033333333333333,173.33333333333334,21.0,Lake Trout,4.0,2.2222222222222223
2011-06-04,2011-06-04 09:00:00,2011-06-04 12:30:00,2011-06-04 10:00:00,2011.0,6.0,3.5,morning,summer,White Rocks,51.0,Partly Cloudy,2.5,NorthWest,2.0,193.33333333333334,25.666666666666668,Lake Trout,2.0,0.8571428571428571
2011-06-05,2011-06-05 08:00:00,2011-06-05 15:30:00,2011-06-05 11:20:00,2011.0,6.0,7.5,morning,summer,Sand Hole,52.666666666666664,Partly Cloudy,3.2777777777777777,NorthEast,2.2555555555555555,130.77777777777777,21.22222222222222,Lake Trout,2.0,1.4666666666666666
2011-06-06,2011-06-06 18:30:00,2011-06-06 21:00:00,2011-06-06 19:45:00,2011.0,6.0,2.5,evening,summer,Lower Harbor Lighthouse,51.0,Partly Cloudy,3.5,NorthWest,2.8,65.0,26.0,Steelhead,2.0,0.4
2011-06-12,2011-06-12 18:15:00,2011-06-12 21:30:00,2011-06-12 19:00:00,2011.0,6.0,2.5833333333333335,evening,summer,Upper Harbor,54.666666666666664,Clear,3.5,NorthWest,2.2666666666666666,132.66666666666666,21.0,Lake Trout,1.6666666666666667,1.2102564102564102
2011-06-14,2011-06-14 08:00:00,2011-06-14 12:30:00,2011-06-14 11:00:00,2011.0,6.0,4.5,morning,summer,Shot Point,51.666666666666664,Overcast,5.0,SouthEast,2.0,183.33333333333334,21.0,Lake Trout,2.0,1.5555555555555556
2011-06-18,2011-06-18 18:00:00,2011-06-18 20:00:00,2011-06-18 18:45:00,2011.0,6.0,2.5,evening,summer,Sand Hole,57.333333333333336,Partly Cloudy,4.166666666666667,NorthEast,1.9666666666666668,176.66666666666666,18.666666666666668,Lake Trout,1.0,1.1904761904761905
2011-06-19,2011-06-19 07:00:00,2011-06-19 10:30:00,2011-06-19 09:00:00,2011.0,6.0,3.5,morning,summer,Sand Hole,55.0,Overcast,3.5,NorthWest,2.02,172.0,19.0,Lake Trout,1.0,2.2857142857142856
2011-06-25,2011-06-25 07:15:00,2011-06-25 11:30:00,2011-06-25 10:15:00,2011.0,6.0,4.25,morning,summer,Sand Hole,57.0,Clear,1.5,NorthEast,1.9,180.0,20.4,Lake Trout,2.0,1.6470588235294117
2011-06-26,2011-06-26 08:00:00,2011-06-26 11:30:00,2011-06-26 09:30:00,2011.0,6.0,3.5,morning,summer,Sand Hole,51.8,Overcast,2.5,NorthEast,1.94,178.0,20.6,Lake Trout,1.0,2.0
2011-07-02,2011-07-02 07:00:00,2011-07-02 11:30:00,2011-07-02 10:00:00,2011.0,7.0,4.5,morning,summer,Sand Hole,50.0,Overcast,1.5,West,2.04,157.0,20.6,Lake Trout,1.0,1.5555555555555556
2011-07-03,2011-07-03 07:00:00,2011-07-03 11:00:00,2011-07-03 09:00:00,2011.0,7.0,4.0,morning,summer,Sand Hole,60.714285714285715,Partly Cloudy,1.7857142857142858,SouthWest,2.0,185.71428571428572,21.0,Lake Trout,1.0,2.25
2011-07-06,2011-07-06 18:00:00,2011-07-06 21:30:00,2011-07-06 19:00:00,2011.0,7.0,3.5,evening,summer,Sand Hole,65.0,Partly Cloudy,3.5,SouthWest,2.0,181.25,20.5,Lake Trout,2.0,1.4285714285714286
2011-07-07,2011-07-07 18:30:00,2011-07-07 21:30:00,2011-07-07 20:15:00,2011.0,7.0,3.0,evening,summer,Lower Harbor Lighthouse,65.0,Partly Cloudy,3.5,NorthWest,2.7,60.0,27.0,Lake Trout,1.0,0.3333333333333333
2011-07-09,2011-07-09 07:00:00,2011-07-09 11:30:00,2011-07-09 08:30:00,2011.0,7.0,4.5,morning,summer,Sand Hole,59.0,Partly Cloudy,3.6,SouthWest,2.0,180.0,20.8,Lake Trout,3.0,1.5555555555555556
2011-07-14,2011-07-14 18:30:00,2011-07-14 20:30:00,2011-07-14 19:30:00,2011.0,7.0,2.0,evening,summer,Lower Harbor Breakwall,65.0,Partly Cloudy,3.5,South,2.8,60.0,21.8,Lake Trout,1.0,3.5
2011-07-16,2011-07-16 09:30:00,2011-07-16 12:30:00,2011-07-16 11:30:00,2011.0,7.0,3.0,morning,summer,Lower Harbor Breakwall,70.0,Partly Cloudy,1.5,West,2.7999999999999994,60.0,21.666666666666668,Lake Trout,2.0,3.3333333333333335
2011-07-24,2011-07-24 08:00:00,2011-07-24 10:00:00,2011-07-24 10:00:00,2011.0,7.0,2.909090909090909,morning,summer,Lower Harbor Breakwall,61.0,Overcast,3.6818181818181817,SouthEast,2.8,61.36363636363637,21.0,Lake Trout,1.9090909090909092,2.772727272727273
2011-07-30,2011-07-30 07:00:00,2011-07-30 13:00:00,2011-07-30 09:30:00,2011.0,7.0,6.0,morning,summer,Lower Harbor Breakwall,62.0,Partly Cloudy,3.5,SouthWest,2.7,62.0,20.7,Lake Trout,2.0,2.3333333333333335
